C_supercap_mF,governor,seed,crashed,mean_queue_backlog,total_tasks,active_steps
10,Powersave,329,False,165.86666666666667,150.0,150
10,Static Threshold,300,False,9.127313333333333,574.0,150
10,Static Threshold,301,False,12.594293333333331,611.0,150
10,Static Threshold,302,False,13.814253333333333,611.0,150
10,Static Threshold,303,False,12.627513333333333,617.0,150
10,Static Threshold,304,False,11.07398,550.0,150
10,Static Threshold,305,False,12.5875,638.0,150
10,Static Threshold,306,False,13.454273333333333,628.0,150
10,Static Threshold,307,False,9.833946666666668,562.0,150
10,Static Threshold,308,False,15.427726666666667,606.0,150
10,Static Threshold,309,False,10.02734,621.0,150
10,Static Threshold,310,False,12.787606666666663,641.0,150
10,Static Threshold,311,False,11.107433333333333,595.0,150
10,Static Threshold,312,False,13.014186666666667,612.0,150
10,Static Threshold,313,False,20.127973333333337,670.0,150
10,Static Threshold,314,False,15.220799999999999,655.0,150
10,Static Threshold,315,False,14.841106666666668,661.0,150
10,Static Threshold,316,False,13.100846666666666,628.0,150
10,Static Threshold,317,False,13.514213333333334,616.0,150
10,Static Threshold,318,False,10.834186666666666,605.0,150
10,Static Threshold,319,False,14.307586666666666,640.0,150
10,Static Threshold,320,False,12.280853333333333,609.0,150
10,Static Threshold,321,False,11.6074,581.0,150
10,Static Threshold,322,False,8.50036,607.0,150
10,Static Threshold,323,False,16.98098,600.0,150
10,Static Threshold,324,False,11.260733333333333,628.0,150
10,Static Threshold,325,False,14.234399999999999,634.0,150
10,Static Threshold,326,False,16.747913333333337,656.0,150
10,Static Threshold,327,False,12.674306666666665,656.0,150
10,Static Threshold,328,False,12.834266666666666,590.0000000000001,150
10,Static Threshold,329,False,12.287426666666667,606.0,150
10,Proposed PPO RL,300,False,4.393739999999999,574.0,150
10,Proposed PPO RL,301,False,4.506966666666666,611.0,150
10,Proposed PPO RL,302,False,4.960406666666666,611.0,150
10,Proposed PPO RL,303,False,4.5537399999999995,616.0,150
10,Proposed PPO RL,304,True,3.9297529411764707,313.0,85
10,Proposed PPO RL,305,False,4.7603,637.0,150
10,Proposed PPO RL,306,False,4.573580000000001,628.0,150
10,Proposed PPO RL,307,False,4.113793333333333,562.0,150
10,Proposed PPO RL,308,False,4.920459999999999,606.0,150
10,Proposed PPO RL,309,False,4.927233333333334,619.0,150
10,Proposed PPO RL,310,True,5.1886705882352935,382.0,85
10,Proposed PPO RL,311,False,4.4469666666666665,595.0,150
10,Proposed PPO RL,312,False,4.540353333333333,612.0,150
10,Proposed PPO RL,313,False,5.240566666666667,670.0,150
10,Proposed PPO RL,314,False,5.14702,655.0,150
10,Proposed PPO RL,315,True,6.072588235294118,375.0,85
10,Proposed PPO RL,316,False,5.180833333333333,628.0,150
10,Proposed PPO RL,317,False,4.720353333333334,616.0,150
10,Proposed PPO RL,318,False,4.660513333333333,605.0,150
10,Proposed PPO RL,319,False,4.780406666666666,640.0,150
10,Proposed PPO RL,320,False,4.64046,609.0,150
10,Proposed PPO RL,321,True,5.2246235294117644,345.0,85
10,Proposed PPO RL,322,False,4.646966666666667,607.0,150
10,Proposed PPO RL,323,False,4.9336866666666666,600.0,150
10,Proposed PPO RL,324,False,4.99374,628.0,150
10,Proposed PPO RL,325,False,4.773686666666666,634.0,150
10,Proposed PPO RL,326,False,5.173846666666667,656.0,150
10,Proposed PPO RL,327,False,5.280726666666666,656.0,150
10,Proposed PPO RL,328,False,4.720619999999999,590.0,150
10,Proposed PPO RL,329,False,4.493686666666667,606.0,150
30,Always-Max,300,False,3.9001,574.0,150
30,Always-Max,301,False,4.1001,611.0,150
30,Always-Max,302,False,4.113466666666667,611.0,150
30,Always-Max,303,False,4.146766666666666,617.0,150
30,Always-Max,304,False,3.6734,550.0,150
30,Always-Max,305,False,4.2600999999999996,638.0,150
30,Always-Max,306,False,4.2200999999999995,628.0,150
30,Always-Max,307,False,3.7667666666666664,562.0,150
30,Always-Max,308,False,4.113466666666667,606.0,150
30,Always-Max,309,False,4.1868,621.0,150
30,Always-Max,310,False,4.293433333333334,641.0,150
30,Always-Max,311,False,3.9934333333333334,595.0,150
30,Always-Max,312,False,4.0934,612.0,150
30,Always-Max,313,False,4.4801,670.0,150
30,Always-Max,314,False,4.393466666666667,655.0,150
30,Always-Max,315,False,4.480166666666666,661.0,150
30,Always-Max,316,False,4.280166666666666,628.0,150
30,Always-Max,317,False,4.1401,616.0,150
30,Always-Max,318,False,4.113466666666667,605.0,150
30,Always-Max,319,False,4.326766666666667,640.0,150
30,Always-Max,320,False,4.0934333333333335,609.0,150
30,Always-Max,321,False,3.9934666666666665,581.0,150
30,Always-Max,322,False,4.106766666666666,607.0,150
30,Always-Max,323,False,4.053433333333333,600.0,150
30,Always-Max,324,False,4.273466666666667,628.0,150
30,Always-Max,325,False,4.2600999999999996,634.0,150
30,Always-Max,326,False,4.473433333333333,656.0,150
30,Always-Max,327,False,4.4934666666666665,656.0,150
30,Always-Max,328,False,4.006833333333333,590.0,150
30,Always-Max,329,False,4.1201,606.0,150
30,Powersave,300,False,160.92666666666668,150.0,150
30,Powersave,301,False,164.11333333333334,150.0,150
30,Powersave,302,False,163.0,150.0,150
30,Powersave,303,False,165.06,150.0,150
30,Powersave,304,False,153.57333333333332,150.0,150
30,Powersave,305,False,168.76,150.0,150
30,Powersave,306,False,165.57333333333332,150.0,150
30,Powersave,307,False,163.76,150.0,150
30,Powersave,308,False,161.41333333333333,150.0,150
30,Powersave,309,False,169.14666666666668,150.0,150
30,Powersave,310,False,169.86,150.0,150
30,Powersave,311,False,172.64666666666668,150.0,150
30,Powersave,312,False,160.0,150.0,150
30,Powersave,313,False,170.04666666666665,150.0,150
30,Powersave,314,False,162.61333333333334,150.0,150
30,Powersave,315,False,170.86666666666667,150.0,150
30,Powersave,316,False,170.51333333333332,150.0,150
30,Powersave,317,False,169.74666666666667,150.0,150
30,Powersave,318,False,165.38,150.0,150
30,Powersave,319,False,165.92666666666668,150.0,150
30,Powersave,320,False,168.09333333333333,150.0,150
30,Powersave,321,False,166.86666666666667,150.0,150
30,Powersave,322,False,170.16,150.0,150
30,Powersave,323,False,162.96666666666667,150.0,150
30,Powersave,324,False,169.16,150.0,150
30,Powersave,325,False,168.16666666666666,150.0,150
30,Powersave,326,False,167.37333333333333,150.0,150
30,Powersave,327,False,171.66,150.0,150
30,Powersave,328,False,162.81333333333333,150.0,150
30,Powersave,329,False,165.86666666666667,150.0,150
30,Static Threshold,300,False,3.9067666666666665,574.0,150
30,Static Threshold,301,False,4.173473333333333,611.0,150
30,Static Threshold,302,False,4.160173333333333,611.0,150
30,Static Threshold,303,False,4.166786666666667,617.0,150
30,Static Threshold,304,False,3.6934,550.0,150
30,Static Threshold,305,False,4.313433333333333,638.0,150
30,Static Threshold,306,False,4.233453333333333,628.0,150
30,Static Threshold,307,False,3.8001,562.0,150
30,Static Threshold,308,False,4.14684,606.0,150
30,Static Threshold,309,False,4.233466666666667,621.0,150
30,Static Threshold,310,False,4.3467666666666664,641.0,150
30,Static Threshold,311,False,3.9934333333333334,595.0,150
